brand,model,price,discount,ram_DDR4,ram_DDR5,ram_lpddr4x,bit,windows,ssd(GB),hdd(GB),display,warranty_years,warranty_accidental,processor_amd_quad,processor_amd_octa,processor_amd_hexa,processor_intel
Hp,PAVILION RYZEN 5 HEXA CORE AMD R5,64990,20.0,8.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,0,0,0,5,0.0
Asus,VIVOBOOK ULTRA 14,39990,32.0,8.0,0.0,0.0,64.0,11.0,512.0,0.0,14.0,1.0,0,0,0,0,3.0
Asus,VIVOBOOK 15 TOUCH CORE I5 11TH GEN,51990,30.0,8.0,0.0,0.0,0.0,11.0,512.0,0.0,15.6,1.0,0,0,0,0,5.0
Asus,VIVOBOOK ULTRA 14,39990,32.0,8.0,0.0,0.0,64.0,11.0,512.0,0.0,14.0,1.0,0,0,0,0,3.0
Asus,VIVOBOOK 15 TOUCH CORE I5 11TH GEN,51990,30.0,8.0,0.0,0.0,0.0,11.0,512.0,0.0,15.6,1.0,0,0,0,0,5.0
Asus,VIVOBOOK PRO 15 OLED RYZEN 7 OCTA CORE AMD R7,64990,26.0,16.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,0,0,7,0,0.0
Asus,VIVOBOOK 14,53990,23.0,8.0,0.0,0.0,0.0,11.0,512.0,0.0,14.0,1.0,0,0,0,0,5.0
Dell,VOSTRO CORE I3 10TH GEN,42490,26.0,4.0,0.0,0.0,64.0,11.0,256.0,1024.0,14.0,1.0,0,0,0,0,3.0
Lenovo,IDEAPAD 3 CORE I3 10TH GEN,31990,40.0,4.0,0.0,0.0,0.0,11.0,256.0,0.0,14.0,1.0,0,0,0,0,3.0
Asus,VIVOBOOK 16X RYZEN 5 HEXA CORE R5,54990,26.0,16.0,0.0,0.0,64.0,11.0,512.0,0.0,16.0,1.0,0,0,0,5,0.0
Msi,CORE I5 11TH GEN,56990,32.0,8.0,0.0,0.0,64.0,10.0,512.0,0.0,15.6,2.0,0,0,0,0,5.0
Asus,CORE I3 12TH GEN,38990,29.0,8.0,0.0,0.0,64.0,11.0,256.0,0.0,14.0,1.0,0,0,0,0,3.0
Asus,VIVOBOOK 15,46990,25.0,8.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,0,0,0,0,5.0
Lenovo,IDEAPAD CORE I5 11TH GEN,59990,38.0,16.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,1,0,0,0,5.0
Dell,VOSTRO RYZEN 3 DUAL CORE R3,33990,32.0,8.0,0.0,0.0,0.0,other,0.0,0.0,15.0,1.0,0,0,0,0,0.0
Hp,PAVILION RYZEN 5 HEXA CORE AMD R5,64990,20.0,8.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,0,0,0,5,0.0
Hp,ENVY X360 INTEL EVO CORE I5 12TH GEN,77990,18.0,16.0,0.0,0.0,0.0,11.0,512.0,0.0,15.6,1.0,0,0,0,0,5.0
Msi,CORE I5 11TH GEN,52990,32.0,8.0,0.0,0.0,64.0,10.0,512.0,0.0,15.6,2.0,0,0,0,0,5.0
Hp,VICTUS RYZEN 5 HEXA CORE 5600H,60000,21.0,8.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,0,0,0,5,0.0
Hp,VICTUS INTEL CORE I7 12TH GEN,85990,15.0,8.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,0,0,0,0,7.0
Lenovo,INTEL CORE I5 10TH GEN,79490,23.0,8.0,0.0,0.0,64.0,11.0,512.0,0.0,15.6,1.0,1,0,0,0,5.0
Hp,PAVILION CORE I7 12TH GEN,84990,17.0,16.0,0.0,0.0,64.0,11.0,1024.0,0.0,14.0,1.0,0,0,0,0,7.0
Apple,MACBOOK AIR M1,125990,5.0,16.0,0.0,0.0,0.0,other,512.0,0.0,13.3,1.0,0,0,0,0,0.0
